,document,keyphrase 1,keyphrase 2,keyphrase 3,keyphrase 4,keyphrase 5,keyphrase 6,keyphrase 7,keyphrase 8,keyphrase 9,keyphrase 10
374,doc 375,addit sourc of bound ration,bound ration,high emot arous,sourc of bound ration,long tradit of thinker,cognit constraint,emot arous,kaufman,effect of emot,kaufman unidimension idea
375,doc 376,motiv forc of emot,biology-bas model of choic,biolog substrat of choic,time-inconsist prefer,emot,altern option,self-control,learn of expect,biolog,problem of self-control
376,doc 377,person comput industri,equilibrium model of industri evolut,person comput,industry-level data on firm number,process innov,industri filson,life cycl,cost improv,previou life-cycl model,paper studi
377,doc 378,intertempor prefer for monetari outcom,hyperbol discount model,intertempor prefer,context of health outcom,hyperbol model,du model,util model,specif function form,substanti evid,limit evid
378,doc 379,labor market,evolv institut,spectacular chang in mobil pattern,boundedli ration firm,set of hire standard,integr in good job,search process,demograph group,gross flow,evolv
379,doc 380,ultim control,ultim control group empir research,well-defin ultim control group,hierarch organ,circular structur,organ of firm,natur of control,organiz structur,classifi,analyt machineri
380,doc 381,modular theori,literatur on properti right,literatur on modular design,literatur,nonmodular structur,organ,partit of rights-understood,right of alien,firm,attempt
381,doc 382,optimum design of cool line,cool line,boundari element design sensit analysi,cool stage of inject mould,boundari integr sensit formul,three-dimension numer simul,boundari element method,caviti temperatur distribut,posit of cool line,inject mould
382,doc 383,methodolog for manag safeti,strateg stock,materi requir plan perform,strateg stock in materi requir,stock posit,new propos methodolog lie,valu of safeti stock,safeti,set of recommend guidelin,uncertainti in market demand
383,doc 384,wave energi power convers,wave energi research team,manufactur of impuls turbin blade,manufactur of turbin blade,innov approach,experiment analysi,three-dimension solid model,rapid prototyp,decomposit model,fdm machin
384,doc 385,altern rout,rout strategi,evalu of combin dispatch,altern rout dynam,altern rout plan,altern rout dynam polici,finit buffer capac,averag machin util,averag flow time,perform measur
385,doc 386,altern rout possibl,fuzzi logic approach,multipl perform measur,multipl decis point,perform measur,altern rout,flexibl,fuzzi logic,manufactur,decis
386,doc 387,product cost,design for assembl modul,featur of high manufactur cost,design for autom,earli design stage,cost estim modul,inject mould process,materi select modul,process optim modul,select of machin process
387,doc 388,use fractal,fractal dimens,exist of non-euclidean contact geometri,tool rake face,machin of aluminium alloy,tool-chip interfac,geometri of contact,machin,convent assumpt,geometri
388,doc 389,layer-bas machin,subtract shape theori,support structur,support structur design,numer control machin configur,layer manufactur process,materi remov process,float overhang,recent develop,necess for support structur
389,doc 390,alaska,voltag compens in support,world,help,energi,storag,author,voltag,compens,paper
390,doc 391,two-cascad semiconductor optic amplifi,two-cascad semiconductor,counterpropag feedback configur,mutual gain modul,soa,gain nonlinear,configur,extinct ratio,amplifi,author
391,doc 392,statist imag reconstruct x-ray,sever artifact includ streak,comput tomographi,metal intracavitari applic,model of ct detector respons,presenc of foreign metal bodi,quantit estim of tissu attenu,physic process of signal acquisit,fbp streak artifact,convent filter backproject
392,doc 393,head,neck,valid positron emiss tomographi,standard imag fusion method,emiss scan,littl anatom inform,valid,import inform on tumor biolog,pet scan,mutual information-bas algorithm
393,doc 394,bar code label,food process,track meat product,central databas,wireless termin,track,code,link,accur,receiv
394,doc 395,gauss-typ inequ potter,bayesian decis procedur,minim probabl content,class of prior distribut,anderson,paramet space,subset,gener of gauss,inequ,statist
395,doc 396,attract set,essenti featur of enzymat reaction,nonlinear depend of reaction rate,subsequ disappear of limit cycl,reaction,larg amplitud oscil,metabolit concentr,loss,stabl limit cycl,appear of larg amplitud
396,doc 397,crop product compon for yield,methodolog for simul rainfal,meteorolog station,limit number of meteorolog station,spatial correl,long-term meteorolog record,larger simul model,methodolog,dekad,preliminari analysi of rainfal data
397,doc 398,span tree,tree enumer in undirect graph,comput network,import issu,circuit analysi,flow requir,node pair,flow,minim path,task
398,doc 399,bodi forc,presenc of bodi forc,equat for inject mould,non-newtonian hele-shaw flow,basic equat,certain boundari valu problem,exist of weak solut,non-newtonian flow,three-dimension domain,presenc
399,doc 400,oper research approach,firm abil,firm function,broad spectrum,narrow class of model,busi environ,mix variabl,linear inequ,firm,restrict
400,doc 401,advertis campaign of good,oper research problem,mathemat model,belenki,plan,optim,gener,mathemat,linear constraint,basi
401,doc 402,all-opt xor gate,addit input beam,novel design,input signal,continu wave light,amplifi,clock signal,boolean ab,new design,boolean
402,doc 403,onlin advic,influenc peopl respons,worthwhil inform onlin,dubiou qualiti,trust,second studi,qualit account,good web design,advic,key factors-sourc credibl
403,doc 404,internet gambl,problem gambl,fastest grow area,new market opportun,technolog develop in internet gambl,problem gambl offlin,main social concern,new market,area of potenti concern,develop of gambl practic
404,doc 405,remot staff,remot manag,computer-medi commun,compani goal,isol,cost-effect way,continu commit,e-mail,report of frustrat,issu of remot
405,doc 406,internet transform collect action,collect action,web bear wit,internet power of mass commun,indirect mobil influenc,mass commun,onlin mobil,natur of collect action,intern group membership,current practic
406,doc 407,virtual commun,reveal ident decept,inform technolog profession,onlin commun,reaction of commun member,perpetr of ident decept,perpetr,nowheremom actual ident,commun member,express of true self
407,doc 408,computer-medi group,person identifi,social psycholog process,strength of group ident,group process,group ident,identifi computer-medi group,degre of person identifi,comput user,import factor
408,doc 409,longitudin survey research,repeat measur survey research onlin,advers life experi,sampl attrit rate,questionnair batteri,psycholog adjust,particip,viabil,longitudin aspect,demograph profil
409,doc 410,internet-bas psycholog experi,care consider,psycholog,util dropout,internet experi,use of dropout,placement of question,area of action,depend variabl,internet technic varianc
410,doc 411,social implic of internet use,psycholog research,intern confer on psycholog,psycholog practic,psycholog,breadth of research,overview,unit kingdom,psychologist,assist
411,doc 412,chlorophyl fluoresc,depth-of-focu imag of chlorophyl fluoresc,intact leav,excel spatial resolut,localis chang in photosynthet function,imag of chlorophyl fluoresc,dynam chang in chlorophyl,restrict depth of focu,valuabl mean,differ focal plane
412,doc 413,fractal brownian motion nois filter,volumin literatur in radio engin,method of filter requir knowledg,ieee tran,frequenc respons,accur observ,simpl method,ieee,varianc,increment of nois
413,doc 414,slide mode,ideal slide mode,continu convex-program algorithm,problem of convex optim,exact penalti function,absenc of infinit number,ideal,characterist,case studi,problem
414,doc 415,complex structur,complex structur in real time,method for autom,basic featur,forth,interrupt of oper,recoveri of effici,specif featur,autom,import exampl
415,doc 416,intern combust engin,reduc fuel consumpt,low-temperatur plasma control,work process,exhaust toxic,new method,thermal engin,steam machin,power,oper
416,doc 417,characterist of comput process,gener of optim strategies-a set,scalabl resourc,certain basic set of processor,effect use of resourc,dynam control of process,prior chang,dynam of softwar applic,commun medium,fulfil of program
417,doc 418,doubl p-ari multir,gener hypercub display in addit,failure-toler of doubl p-ari multir,p-p rearrang,p-element permut,doubl p-ari hypercub,commut,arbitrari single-el permut,conflict-fre way,commut of channel
418,doc 419,cooper game,characterist function,classic characterist function,new concept,number of decis,cooper,uniqu solut,game,characterist,number
419,doc 420,heterogen territori,given set of termin point,certain number,transport,number of branch point,locat of transport rout,locat,branch,optim algorithm,adjac matrix
420,doc 421,goal function,problem of control,motiv,agent,criteria,goal,princip,solv problem,weight,activ
421,doc 422,import problem,applic of fuzzi mathemat model,flexibl,technolog data,uncertainti,flexibl problem,intern factor,structur flexibl,optim design,chemic
422,doc 423,deform space vehicl,fuzzy-log adapt algorithm,qualiti of control process,elast structur vibrat,discret period,fuzzi logic,circuit,digit model,adapt,adjust
423,doc 424,hidden convex,constraint,linear,properti,control,studi,,,,
424,doc 425,certain auxiliari plane,set of stabl polynomi,coordin plane,geometri,discret,discret variant,coordin,configur,kharitonov theorem,linear
425,doc 426,random jump,gener markov process,random jump in phase trajectori,perturb motion,probabilist stabil,phase vector,asymptot probabilist stabil,phase,appli approach,situat
426,doc 427,optim control switch point,optim control,suffici condit,suffici,nonlinear,exist,smooth,end,problem,properti
427,doc 428,polynomi equat,bezout matrix ident,polynomi,number of step,class of solut,embed,euclidean algorithm,appropri substitut,descript exampl,class
428,doc 429,optim control algorithm,reachabl set,sequenti refin method,analog problem,reachabl,termin function,optim control,local approxim,control algorithm,linear
429,doc 430,integr rang,integr rang for exponenti function,independ constant for decomposit,integr rang of exponenti function,univers decomposit,similar approach,constant,function paramet,decomposit,univers
430,doc 431,synchron experi,minim synchron sequenc,field of real number,interv,linear inequ,concern,linear,control,minim,gener
431,doc 432,diagnosi,step-by-step approach,behavior defect of object,class of physic defect,state,specif problem,illustr exampl,disturb,mode,class
432,doc 433,adapt method,systemat of adapt method,event graph model,reliabl estim,reliabl,softwar failur,reliabl requir,adapt,choic,architectur
433,doc 434,data block,hypercub,method of conflictless realiz,multir,arbitrari permut,nonlock in multir,data item,transmiss,high effici,method
434,doc 435,multivalu compon,multivalu compon linear,circuit model,vlsi circuit,linear model of circuit,lineardesignmv algorithm on circuit,linear decis diagram,submicron technolog,l-level circuit,number of multivalu compon
435,doc 436,problem of structur identif,new approach,process of structur identif,decis role,human factor,potenti possibl,subject,suggest approach,recognit,discuss
436,doc 437,best solut,finit set,typic problem of network reconstruct,given number of sequenc term,problem of optim,origin extrem problem,dimens of problem input,sequenc,polynomi,dimens
437,doc 438,pulse-frequ modul,feedback circuit,bounded,initi data,stabil,linear,puls,signal,object,consist
438,doc 439,class of multistep control process,class of multistep control,reachabl set,reachabl,upper estim,upper,optim control,iter,restrict,class
439,doc 440,random vector,indetermin random vector,confid set,properti of gener confid set,set of possibl mean valu,gener confid,exact estim,standard method of estim,construct of confid set,unif of confid set
440,doc 441,non-coop game,new notion of equilibrium,dynam game problem,basic equilibria,game,notion,activ,solut,place,propos
441,doc 442,entir construct class of solut,reduc observ of plant state,matrix transfer function,interrel problems-design,pose problem,matrix equat,nonzero initi condit,desir respons,embed,standpoint
442,doc 443,bound time interv,bound time interv consider,spectral characterist,transcendent characterist equat,partial spectra,classic frequenc characterist,singular,singular function,bound,linear
443,doc 444,quantum comput,quantum,solid scienc,solid-st devic,practic devic,build,outlin,technolog,lab,author
444,doc 445,privaci polici,heighten fear of privaci abus,dotcom compani,custom list,recent string of failur,peril of privaci,person data,string,fail compani,disclosur
445,doc 446,netsec,industri reflect,place in san francisco,combat cyber-terror,author report,enterpris in focu,san,enterpris,place,balanc
446,doc 447,new paradigm for comput,secur oper of larg scale,network secur,lack of busi level experi,busi risk manag,trust,new paradigm,trustworthi,adopt of intern standard,number of major question
447,doc 448,file,jpeg imag file,compress graphic imag,viru,execut code,main viru featur,affect jpeg file,alter jpeg file,look,author
448,doc 449,inform secur polici,variou intern inform secur standard,intern inform secur standard,import inform secur control,vital direction-giv document,good start point,polici author,exist sourc,guidanc,secur control
449,doc 450,secur crisi,basic of secur crisi manag,secur event,pervas problem,corpor crisi manag,kind of secur event,firewal log,littl tend,specif incid,point problem
450,doc 451,data center market,larg industri build,fast-mov sector,import redund power suppli,latest telecommun,data technolog,re-format,million of dollar,high-tech palac,redund air condit
451,doc 452,close look,radic solut,technic infrastructur,new solut,end-us process,build,abb,offic meet,hotel guest,center
452,doc 453,new platform for high-perform,design depart in europ,latin america,design depart,distribut engin team,abb answer,manufactur compani,offic,product in asia,platform
453,doc 454,unit state postal servic,machin tend,materi handl,new level of speed,distribut center in columbu,abb robot,abb,sort,pick,robot
454,doc 455,condit monitor,condit monitor offer mainten routin,critic variables-th robot equival,develop for abb robot,condit monitor tool,compani broad process know-how,builder for way,physic check-up-in order,ideal basi for reliability-cent mainten,product in today global market
455,doc 456,robot solut for car windshield,car windshield,automat assembl of lamin windshield,windshield,car,car product line,crystal-clear visibl,perfect fit,precis product,environment specif
456,doc 457,tool for off-lin program,case for desktop comput,complex oper,special knowledg of robot,robot,metal cabinet,feasibl studi,easi offlin program,bendwizard,semiskil oper
457,doc 458,shop,press shop global,competit advantag belong,tradit limit of manufactur effici,world market,new requir,valu chain,abb autom,automot industri,process know-how
458,doc 459,consum good custom satisfact,product of goods-from order entri,focu on core compet,outsourc of noncor activ,form of order-driven plan,recent year,schedul of product,final delivery-mor,custom,enterpris
459,doc 460,trend in discret manufactur,improv industri relations-al,car,ford plant,better busi,relentless advanc of technolog,trend,similar stori,manufactur industri,worker
460,doc 461,intuitionist modal logic,beth properti,classic modal case,differ form,beth properti for l,boolean case,paper studi,classic case,algebra properti,interpol
461,doc 462,boolean algebra,topolog densiti of homomorph imag,zfc use pcf,boolean,free product,cardin of close subspac,famili of cardin,result on ultraproduct,prescrib,behaviour
462,doc 463,law firm,inexor chang in client expect,basic oper model,key enabl,market condit,recent pa consult survey,busi environ,recent year,competit,key
463,doc 464,european electron signatur direct,electron signatur regul,prospect for e-commerc,signific of certif servic provid,legal framework,februari,latest develop on e-signatur,regul,signatur,apac
464,doc 465,data protect act,mirror group newspap for damag,naomi campbel,distress,drug,breach,law firm,mirror,legal implic,onlin publish
465,doc 466,optimis techniqu for web site,trade mark infring,reed solut plc versu,reed busi inform limit,use of variou optimis techniqu,reed execut plc,mark,mr justic pumfrey,judgment,limit case
466,doc 467,sensibl european legisl on softwar,invent use softwar,european commiss,draft direct,nation patent law,computer-impl invent,import direct,total lack of uniti,european patent offic,direct
467,doc 468,content of foreign-host internet site,ambit of english crimin law,council of europ cybercrim convent,author submiss,recent case,court of appeal decis,court of appeal approach,english subscrib,materi in england,wale
468,doc 469,e-govern,e-govern modernis,main issu,public servic,electron deliveri,special legal issu,introduct,author,hint,public
469,doc 470,origin paper,cost point of view,imag e-mail,e-mail,speci,evolut,ibid,disclosur,scan,print
470,doc 471,law societi rule govern storag,store file,electron storag of legal file,orang utan,paperless offic,file on electron media,chang of solicitor,storag,file,avail onlin
471,doc 472,property-focus electron data exchang standard,properti industri,data exchang,differ type of softwar packag,attract prospect of seamless transfer,electron transfer of data,key busi area,hm land registri consult,period of unpreced chang,piec of softwar
472,doc 473,legal profess,new medium of commun,widespread use of e-mail,secur form of commun,e-mail,includ softwar encrypt,medium,number of way,area of commerc,e-mail origin
473,doc 474,dispos e-mail address,dea,e-mail,mailshel,number of dea,dea in mailshel,author,solut,start,servic
474,doc 475,web site firm,key test,excel custom servic,web site,technic skill,web site firm staff,proven track record,busi experi,depth of skill,good portfolio
475,doc 476,web strategi,awkward look,law firm web site,good invest,best invest,invest,contract,law firm,think,view
476,doc 477,innov natur languag process techniqu,accomplish of professor jean-raoul scherrer,humanist legaci in medic informat,patient-ori applic of inform technolog,molecular imag of protein electrophores,innov concept of man-machin interfac,develop of medic imag manag,rigor design of terminolog,humanist vision,medic skill
477,doc 478,applic area of inform,respons for medic informat research,inform technolog,new radiant imag method,technolog in medicin,new knowledg in molecular biolog,global problem,global solut,appropri individu access,new engin develop
478,doc 479,internet support of health promot,canadian healnet experi,wide array of internet-bas product,consum health informat,person health,promot of evidence-bas practic,subject review of insight,consum for consum,collabor research,canadian network of centr
479,doc 480,health-checkup data markup languag,health-checkup data,transfer of numer lab data,standard gener markup languag,involv data exchang,health checkup facil,hdml,feasibl studi,health statu assess,structur of hdml
480,doc 481,autom advic for lifestyl adjust,health checkup data,use advic for lifestyl improv,rest blood pressur,multiple-risk factor syndrom group,anim fat intak,bodi mass index,fast blood sugar,eat habit,liver function test
481,doc 482,new model for organiz design,inform technolog,inform process perspect,substitut for organiz structur,unstabl environ,organiz structur,organ task environ,second world war,present environment instabl,continu influenc
482,doc 483,knowledge-bas structur,organis commit organis commit,new area of knowledg manag,employ organis,import perform factor,organis structur,emot attach,theoret knowledge-bas structur,variou anteced,learn organis
483,doc 484,organ structur,way organ structur,certain organ structur,internet on small busi,decentr form,evolut,impact on organ,impact of comput,futur organiz form,impact
484,doc 485,gener enterpris model,current enterpris model,wide rang of problem domain,gem,nondynam model issu,key design issu,singl perspect,public sector organis,unlimit scope,enterpris
485,doc 486,zeolit synthesi,zeolit,redesign of high throughput experi,structur direct agent,chemic composit,throughput,materi function,redesign,multi-round protocol,priori inform
486,doc 487,intellig control,variabl structur control,neural network,linear observ,novel approach,vsc,practic oper result,compens uncertainti,state estim,pm synchron motor
487,doc 488,variabl admitt,dc power,nonlinear control strategi,tradit gener dynam equat,differenti geometr theori,addit state variabl,activ power flow,transient stabil,global linear method,analyt descript
488,doc 489,competit design competit,mobil comput design competit,comput scienc cours,killer app,excel way,comput scienc,hands-on experi in engin,univers of florida,competit,excel
489,doc 490,broader term servic discoveri,need for plug-and-play solut,automat configur,servic locat protocol,compet industri,standard develop,choos servic discoveri,new race,univers plug,standard
490,doc 491,wearabl comput speech recognit,speech,speech recognit,promot product,role of speech input,magazin,role,gener context,interfac design,mechan
491,doc 492,novel middlewar for mobility-en servic,internet servic,ubiquit provis of internet servic,context-depend internet servic,novel locat,mobil client,mobil agent,ma program paradigm,devic,telecommun
492,doc 493,varieti of network peripher devic,knowledg worker,integr independ tool,physic context,electron whiteboard,pervas comput,user interact,integr,knowledg,comput monitor
493,doc 494,great promis for mobil,pervas comput environ,directori servic,nonloc news,traffic report,pervas comput,larg scale,weather,manag,inform
494,doc 495,privaci control,inform space,theoret model for privaci control,model for privaci control,import privacy-relev contextu factor,model privaci control,core abstract of inform space,ravi sandhu four-lay om-am,privaci object,pervas comput
495,doc 496,context-awar chat program,context-awar chat program conchat,contextu inform,electron commun,potenti semant conflict,conchat,contextu cue,immedi surround,semant conflict,enrich
496,doc 497,quality-of-service-awar decis engin,appropri adapt decis,challeng,content,pose,adapt,build,good,decis,devic
497,doc 498,reconfigur context-sensit middlewar,pervas comput,engag in spontan inform exchang,context-sensit applic,ad hoc commun support,user action,new devic,sensor,data,need
498,doc 499,wearabl sensor,locat recognit,angular veloc data,dead-reckon method,user locat,acceler,locat,activ,veloc,walk behavior
499,doc 500,smart environ,cell biolog laboratori,cell biolog laboratori labscap,improv collabor in conjunct,labscap,increas individu effici,help biologist,organ data,central goal,cell
